states,actions
"[0.0337475773334841, 0.003067961575771161, -0.07117768375331757, -0.06463951361075715]",[-0.5745676138959845]
"[0.0337475773334841, 0.003067961575771161, -0.0569421470026541, -0.051711610888588666]",[0.0003772812157009642]
"[0.030679615757712823, 0.003067961575771161, -0.19895179639068727, -0.04136928871085388]",[0.3248743072909701]
"[0.030679615757712823, 0.003067961575771161, -0.15916143711255004, -0.03309543096870016]",[0.5049260141493122]
"[0.030679615757712823, 0.006135923151542766, -0.12732914969003994, 0.12692173401362083]",[0.8427926857907299]
"[0.030679615757712823, 0.006135923151542766, -0.101863319752032, 0.10153738721089667]",[1.1501691982719482]
"[0.030679615757712823, 0.006135923151542766, -0.08149065580162551, 0.08122990976872302]",[1.125990166947008]
"[0.030679615757712823, 0.006135923151542766, -0.06519252464130032, 0.06498392781497841]",[0.5368314101642958]
"[0.030679615757712823, 0.006135923151542766, -0.052154019713040345, 0.051987142251988416]",[-0.0050749654018175105]
"[0.030679615757712823, 0.006135923151542766, -0.041723215770432365, 0.04158971380158505]",[-0.07074696544113454]
"[0.030679615757712823, 0.003067961575771161, -0.0333785726163458, -0.12012630774734134]",[-0.24789930873338417]
"[0.02761165418194154, 0.003067961575771161, -0.18010093688164086, -0.09610104619784465]",[-0.6281711531374761]
"[0.02761165418194154, 0.003067961575771161, -0.1440807495053127, -0.07688083695825298]",[-0.5989430691404027]
"[0.02761165418194154, 0.003067961575771161, -0.11526459960425028, -0.06150466956660239]",[0.036713764532700255]
"[0.02761165418194154, 0.003067961575771161, -0.09221167968340027, -0.04920373565329328]",[0.3713989296380463]
"[0.02454369260617026, 0.003067961575771161, -0.2271674225352842, -0.03936298852264031]",[0.3071107537092919]
"[0.02454369260617026, 0.003067961575771161, -0.18173393802822724, -0.03149039081810656]",[0.38675730167286304]
"[0.02454369260617026, 0.003067961575771161, -0.14538715042258188, -0.025192312654496618]",[0.48247976630969547]
